焦距	GGX	     GGY
10.00 	1.52	1.65
13.10 	1.53	1.7
19.50 	1.64	1.8
32.10 	1.85	2
40.10 	2	    2.2
51.20 	2.27	2.45
59.10 	2.45	2.7
68.60 	2.75	3
78.10 	3.07	3.35
89.20 	3.45	3.75
100.30 	3.95	4.28
109.80 	4.25	4.7
119.30 	4.75	5.15
128.80 	5.4	    5.95
139.90 	6.25	6.8
147.80 	7	    7.65
160.50 	8.45	9.3
168.40 	9.6	    10.45
182.70 	11.8	12.95
190.60 	12.95	14.05
196.90 	13.55	14.7
212.80 	14.95	16.05
220.70 	15.25	16.65
233.40 	16.15	17.5
238.10 	16.75	18.05
250.80 	18.25	19.85
260.30 	19.85	21.85
271.40 	22.65	24.35
280.90 	25.55	28
290.40 	28.55	30.75
300	   31.55	33.95
