焦距	GGX	GGY
10.00 	1.45	1.7
17.90 	1.55	1.75
21.00 	1.62	1.85
32.10 	1.75	1.95
40.10 	1.95	2.15
51.20 	2.15	2.35
59.10 	2.35	2.65
70.20 	2.65	2.95
76.50 	2.85	3.2
89.20 	3.35	3.75
97.10 	3.65	4.95
108.20 	4.1	4.55
119.30 	4.6	5.15
130.40 	5.2	5.85
143.10 	6.3	7
151.00 	7	7.8
163.70 	8.6	9.6
171.60 	9.8	10.95
181.10 	11.4	12.5
187.40 	12	13.5
200.10 	13.5	15.25
211.20 	14.4	16
222.30 	14.9	16.7
230.20 	15.5	17.5
241.30 	16.4	18.3
252.40 	18	20
263.50 	20	22
271.40 	21.8	24.8
279.30 	24.6	27.5
292	28.6	31.6
300.00 	29.8	33.8
