焦距	GGX	GGY
10.40 	1.25	1.4
13.01 	1.65	1.75
15.92 	1.95	2.15
17.67 	2.15	2.35
19.96 	2.46	2.65
25.34 	3.1	3.4
30.40 	3.7	4
39.72 	4.9	5.4
50.33 	6.2	6.75
60.03 	7.5	8.05
69.07 	8.5	9.3
81.71 	10.05	11
88.60 	10.9	12
101.25 	12.5	13.7
111.74 	13.6	15
123.02 	15.2	16.5
132.74 	16.5	18
140.76 	17.5	19
150.30 	18.3	20.5
161.44 	19.7	22
172.68 	21	23.5
182.92 	22.5	25
190.28 	23.5	25.5
199.33 	24.5	27
210.66 	25.5	28
219.51 	27	29.5
231.84 	28.5	31.5
241.13 	29.5	32.5
250.76 	30.5	33.5
260.53 	31.5	35
271.59	33.5	36.8
279.63 	34.5	37.5
289.77 	35.6	39
